CustomerID,SimilarCustomerID,Score
C0001,C0120,0.9181523234979794
C0001,C0191,0.8665187771866838
C0001,C0118,0.8357303970523413
C0002,C0178,0.8818140452547637
C0002,C0159,0.8757706162002237
C0002,C0134,0.8513878844697068
C0003,C0031,0.9075262861323825
C0003,C0147,0.884141261715644
C0003,C0025,0.8576413100243334
C0004,C0113,0.9533305623064582
C0004,C0163,0.927491436843334
C0004,C0012,0.9052755501670874
C0005,C0146,0.9376217194425887
C0005,C0186,0.9190305130331514
C0005,C0007,0.909319513330826
C0006,C0187,0.9020993861968956
C0006,C0171,0.8601977704201105
C0006,C0126,0.8107561723135949
C0007,C0146,0.9968253168585275
C0007,C0115,0.9207042668548936
C0007,C0005,0.909319513330826
C0008,C0194,0.8127485019915511
C0008,C0122,0.7855072656722216
C0008,C0059,0.7835327175870911
C0009,C0061,0.9230871202373055
C0009,C0198,0.922729905572056
C0009,C0132,0.8475049565087727
C0010,C0062,0.8887041699454936
C0010,C0111,0.8731746742576989
C0010,C0061,0.7455039075365529
C0011,C0126,0.9779370154596012
C0011,C0171,0.8373222182828629
C0011,C0107,0.8350487200729695
C0012,C0163,0.961516075046293
C0012,C0104,0.9204805523608983
C0012,C0004,0.9052755501670874
C0013,C0102,0.9178092339033153
C0013,C0188,0.9105682706307366
C0013,C0155,0.8466576903118587
C0014,C0060,0.9499316406315937
C0014,C0063,0.9359250860051668
C0014,C0121,0.9174049880448265
C0015,C0131,0.9722631077234775
C0015,C0058,0.9282441806295969
C0015,C0020,0.9063565838145857
C0016,C0183,0.8977006886807097
C0016,C0026,0.8401834152171528
C0016,C0050,0.822655280470792
C0017,C0075,0.9467833460409871
C0017,C0041,0.9054988651660569
C0017,C0182,0.8788581201154713
C0018,C0122,0.8505830623374704
C0018,C0194,0.8176539057254728
C0018,C0068,0.8053867741335674
C0019,C0197,0.9312124110302202
C0019,C0070,0.8961231489311389
C0019,C0198,0.7834368573545046
C0020,C0015,0.9063565838145857
C0020,C0058,0.8902997329391437
C0020,C0131,0.8887612638421806
